BillNo,Sn,ArriveDate,RecordDate
Q00973309,0,960306,970508
QZ0008528,0,960212,970626
QZ0008529,0,960212,970626
QZ0008538,0,960212,970626
QZ0008546,0,960212,970626
QZ0008547,0,960212,970626
QZ0008571,0,960212,970626
QZ0008575,0,960212,970626
QZ0008576,0,960212,970626
QZ0008577,0,960212,970626
QZ0008578,0,960212,970626
QZ0008593,0,960212,970430
QZ0008595,0,960213,970626
QZ0008596,0,960213,970626
QZ0008602,0,960212,970626
QZ0008632,0,960212,970626
QZ0008640,0,960212,970626
QZ0008670,0,960213,970430
QZ0008671,0,960212,970430
QZ0008672,0,960212,970430
QZ0008673,0,960212,970430
QZ0008674,0,960212,970430
QZ0008690,0,960212,970626
QZ0008691,0,960212,970626
QZ0008716,0,960213,970626
QZ0008717,0,960213,970626
QZ0008752,0,960212,970626
QZ0008762,0,960212,970626
QZ0008768,0,960212,970430
QZ0008779,0,960212,970409
QZ0008780,0,960212,970409
QZ0008794,0,960213,970626
QZ0008799,0,960212,970430
QZ0008804,0,960212,970626
QZ0008812,0,960212,970626
QZ0008813,0,960212,970626
QZ0008814,0,960212,970626
QZ0008822,0,960212,970626
QZ0008826,0,960214,970508
QZ0008836,0,960213,970626
QZ0008843,0,960212,970626
QZ0008847,0,960212,970626
QZ0008848,0,960212,970626
QZ0008849,0,960212,970626
QZ0008850,0,960212,970626
QZ0008851,0,960212,970626
QZ0008852,0,960212,970626
QZ0008853,0,960212,970626
QZ0008854,0,960212,970626
QZ0008855,0,960212,970626
QZ0008856,0,960212,970626
QZ0008861,0,960212,970626
QZ0008862,0,960212,970626
QZ0008885,0,960302,970430
QZ0008925,0,960212,970626
QZ0008949,0,960212,970626
QZ0008953,0,960212,970626
QZ0010371,0,960418,970626
QZ0010442,0,960418,970519
QZ0010443,0,960418,970519
QZ0010446,0,960418,970626
QZ0010473,0,960418,970626
QZ0010491,0,960418,970508
QZ0010496,0,960418,970626
QZ0010509,0,960418,970626
QZ0010550,0,960419,970430
QZ0010593,0,960418,971002
QZ0010602,0,960418,970626
QZ0010627,0,960418,970626
QZ0010628,0,960418,970626
QZ0010629,0,960418,970626
QZ0010630,0,960418,970626
QZ0010631,0,960418,970626
QZ0010640,0,960418,970508
QZ0010644,0,960423,961114
QZ0010645,0,960423,961114
QZ0010646,0,960423,961114
QZ0010647,0,960423,961114
QZ0010648,0,960423,961114
QZ0010657,0,960418,970626
QZ0010658,0,960418,970626
QZ0010660,0,960418,970626
QZ0010661,0,960418,970626
QZ0010662,0,960418,970626
QZ0010711,0,960420,970626
QZ0010716,0,960418,970626
QZ0010745,0,960418,970626
QZ0010746,0,960418,970626
QZ0010748,0,960418,970626
QZ0010752,0,960418,970626
QZ0010753,0,960418,970626
QZ0010754,0,960418,970626
QZ0010757,0,960418,970626
QZ0010758,0,960418,970626
QZ0010761,0,960606,970626
QZ0010779,0,960419,970626
QZ0010810,0,960419,970626
QZ0010833,0,960418,970626
QZ0010834,0,960418,970626
QZ0010878,0,960421,970626
QZ0010879,0,960421,970626
QZ0010880,0,960421,970626
QZ0010898,0,960418,970409
QZ0010911,0,960502,970409
QZ0010920,0,960503,970430
QZ0010921,0,960503,970430
QZ0010931,0,960502,970626
QZ0011021,0,960509,970430
QZ0011022,0,960509,970430
QZ0011032,0,960509,970626
QZ0011037,0,960508,970626
QZ0011039,0,960508,961114
QZ0011057,0,960508,970626
QZ0011058,0,960508,970626
QZ0011065,0,960509,970626
QZ0011066,0,960508,970626
QZ0011081,0,960508,970626
QZ0011111,0,960508,970626
QZ0011112,0,960508,970626
QZ0011113,0,960508,970626
